iteration,endpoint,ok,status,latency_ms,error
1,GET /finance/transactions,true,200,80,
2,GET /finance/transactions,true,200,70,
3,GET /finance/transactions,true,200,54,
4,GET /finance/transactions,true,200,51,
5,GET /finance/transactions,true,200,70,
6,GET /finance/transactions,true,200,63,
7,GET /finance/transactions,true,200,53,
8,GET /finance/transactions,true,200,56,
9,GET /finance/transactions,true,200,53,
10,GET /finance/transactions,true,200,53,
11,GET /finance/transactions,true,200,54,
12,GET /finance/transactions,true,200,61,
13,GET /finance/transactions,true,200,54,
14,GET /finance/transactions,true,200,56,
15,GET /finance/transactions,true,200,58,
16,GET /finance/transactions,true,200,70,
17,GET /finance/transactions,true,200,58,
18,GET /finance/transactions,true,200,54,
19,GET /finance/transactions,true,200,58,
20,GET /finance/transactions,true,200,60,
21,GET /finance/transactions,true,200,52,
22,GET /finance/transactions,true,200,49,
23,GET /finance/transactions,true,200,55,
24,GET /finance/transactions,true,200,51,
25,GET /finance/transactions,true,200,55,
26,GET /finance/transactions,true,200,50,
27,GET /finance/transactions,true,200,50,
28,GET /finance/transactions,true,200,52,
29,GET /finance/transactions,true,200,47,
30,GET /finance/transactions,true,200,46,
31,GET /finance/transactions,true,200,51,
32,GET /finance/transactions,true,200,53,
33,GET /finance/transactions,true,200,48,
34,GET /finance/transactions,true,200,53,
1,GET /scholarships,true,200,93,
2,GET /scholarships,true,200,47,
3,GET /scholarships,true,200,58,
4,GET /scholarships,true,200,48,
5,GET /scholarships,true,200,53,
6,GET /scholarships,true,200,50,
7,GET /scholarships,true,200,53,
8,GET /scholarships,true,200,58,
9,GET /scholarships,true,200,53,
10,GET /scholarships,true,200,54,
11,GET /scholarships,true,200,62,
12,GET /scholarships,true,200,62,
13,GET /scholarships,true,200,63,
14,GET /scholarships,true,200,65,
15,GET /scholarships,true,200,50,
16,GET /scholarships,true,200,53,
17,GET /scholarships,true,200,68,
18,GET /scholarships,true,200,80,
19,GET /scholarships,true,200,68,
20,GET /scholarships,true,200,58,
21,GET /scholarships,true,200,50,
22,GET /scholarships,true,200,58,
23,GET /scholarships,true,200,70,
24,GET /scholarships,true,200,84,
25,GET /scholarships,true,200,85,
26,GET /scholarships,true,200,72,
27,GET /scholarships,true,200,52,
28,GET /scholarships,true,200,51,
29,GET /scholarships,true,200,55,
30,GET /scholarships,true,200,47,
31,GET /scholarships,true,200,52,
32,GET /scholarships,true,200,71,
33,GET /scholarships,true,200,66,
1,GET /universities/dropdown,true,200,31,
2,GET /universities/dropdown,true,200,32,
3,GET /universities/dropdown,true,200,29,
4,GET /universities/dropdown,true,200,30,
5,GET /universities/dropdown,true,200,36,
6,GET /universities/dropdown,true,200,33,
7,GET /universities/dropdown,true,200,29,
8,GET /universities/dropdown,true,200,30,
9,GET /universities/dropdown,true,200,32,
10,GET /universities/dropdown,true,200,30,
11,GET /universities/dropdown,true,200,30,
12,GET /universities/dropdown,true,200,33,
13,GET /universities/dropdown,true,200,33,
14,GET /universities/dropdown,true,200,33,
15,GET /universities/dropdown,true,200,32,
16,GET /universities/dropdown,true,200,26,
17,GET /universities/dropdown,true,200,31,
18,GET /universities/dropdown,true,200,34,
19,GET /universities/dropdown,true,200,31,
20,GET /universities/dropdown,true,200,30,
21,GET /universities/dropdown,true,200,61,
22,GET /universities/dropdown,true,200,34,
23,GET /universities/dropdown,true,200,28,
24,GET /universities/dropdown,true,200,31,
25,GET /universities/dropdown,true,200,26,
26,GET /universities/dropdown,true,200,29,
27,GET /universities/dropdown,true,200,28,
28,GET /universities/dropdown,true,200,44,
29,GET /universities/dropdown,true,200,34,
30,GET /universities/dropdown,true,200,33,
31,GET /universities/dropdown,true,200,33,
32,GET /universities/dropdown,true,200,34,
33,GET /universities/dropdown,true,200,30,
