iteration,endpoint,ok,status,latency_ms,error
1,GET /finance/jars,true,200,55,
2,GET /finance/jars,true,200,52,
3,GET /finance/jars,true,200,51,
4,GET /finance/jars,true,200,45,
5,GET /finance/jars,true,200,40,
6,GET /finance/jars,true,200,47,
7,GET /finance/jars,true,200,54,
8,GET /finance/jars,true,200,51,
9,GET /finance/jars,true,200,47,
10,GET /finance/jars,true,200,48,
11,GET /finance/jars,true,200,50,
12,GET /finance/jars,true,200,50,
13,GET /finance/jars,true,200,46,
14,GET /finance/jars,true,200,39,
15,GET /finance/jars,true,200,45,
16,GET /finance/jars,true,200,47,
17,GET /finance/jars,true,200,39,
18,GET /finance/jars,true,200,43,
19,GET /finance/jars,true,200,44,
20,GET /finance/jars,true,200,40,
21,GET /finance/jars,true,200,39,
22,GET /finance/jars,true,200,39,
23,GET /finance/jars,true,200,42,
24,GET /finance/jars,true,200,45,
25,GET /finance/jars,true,200,43,
26,GET /finance/jars,true,200,38,
27,GET /finance/jars,true,200,51,
28,GET /finance/jars,true,200,40,
29,GET /finance/jars,true,200,37,
30,GET /finance/jars,true,200,45,
31,GET /finance/jars,true,200,39,
32,GET /finance/jars,true,200,42,
33,GET /finance/jars,true,200,43,
34,GET /finance/jars,true,200,43,
1,POST /finance/transactions,true,201,111,
1,GET /finance/transactions/:id,true,200,32,
1,DELETE /finance/transactions/:id,true,200,46,
2,POST /finance/transactions,true,201,55,
2,GET /finance/transactions/:id,true,200,31,
2,DELETE /finance/transactions/:id,true,200,48,
3,POST /finance/transactions,true,201,58,
3,GET /finance/transactions/:id,true,200,32,
3,DELETE /finance/transactions/:id,true,200,64,
4,POST /finance/transactions,true,201,79,
4,GET /finance/transactions/:id,true,200,47,
4,DELETE /finance/transactions/:id,true,200,47,
5,POST /finance/transactions,true,201,81,
5,GET /finance/transactions/:id,true,200,32,
5,DELETE /finance/transactions/:id,true,200,43,
6,POST /finance/transactions,true,201,58,
6,GET /finance/transactions/:id,true,200,43,
6,DELETE /finance/transactions/:id,true,200,50,
7,POST /finance/transactions,true,201,63,
7,GET /finance/transactions/:id,true,200,35,
7,DELETE /finance/transactions/:id,true,200,43,
8,POST /finance/transactions,true,201,56,
8,GET /finance/transactions/:id,true,200,31,
8,DELETE /finance/transactions/:id,true,200,44,
9,POST /finance/transactions,true,201,59,
9,GET /finance/transactions/:id,true,200,34,
9,DELETE /finance/transactions/:id,true,200,48,
10,POST /finance/transactions,true,201,58,
10,GET /finance/transactions/:id,true,200,31,
10,DELETE /finance/transactions/:id,true,200,84,
11,POST /finance/transactions,true,201,64,
11,GET /finance/transactions/:id,true,200,34,
11,DELETE /finance/transactions/:id,true,200,46,
12,POST /finance/transactions,true,201,70,
12,GET /finance/transactions/:id,true,200,37,
12,DELETE /finance/transactions/:id,true,200,110,
13,POST /finance/transactions,true,201,57,
13,GET /finance/transactions/:id,true,200,37,
13,DELETE /finance/transactions/:id,true,200,44,
14,POST /finance/transactions,true,201,65,
14,GET /finance/transactions/:id,true,200,31,
14,DELETE /finance/transactions/:id,true,200,44,
15,POST /finance/transactions,true,201,69,
15,GET /finance/transactions/:id,true,200,36,
15,DELETE /finance/transactions/:id,true,200,48,
16,POST /finance/transactions,true,201,69,
16,GET /finance/transactions/:id,true,200,40,
16,DELETE /finance/transactions/:id,true,200,52,
17,POST /finance/transactions,true,201,62,
17,GET /finance/transactions/:id,true,200,52,
17,DELETE /finance/transactions/:id,true,200,43,
18,POST /finance/transactions,true,201,72,
18,GET /finance/transactions/:id,true,200,46,
18,DELETE /finance/transactions/:id,true,200,49,
19,POST /finance/transactions,true,201,58,
19,GET /finance/transactions/:id,true,200,37,
19,DELETE /finance/transactions/:id,true,200,44,
20,POST /finance/transactions,true,201,52,
20,GET /finance/transactions/:id,true,200,40,
20,DELETE /finance/transactions/:id,true,200,43,
21,POST /finance/transactions,true,201,52,
21,GET /finance/transactions/:id,true,200,32,
21,DELETE /finance/transactions/:id,true,200,44,
22,POST /finance/transactions,true,201,59,
22,GET /finance/transactions/:id,true,200,32,
22,DELETE /finance/transactions/:id,true,200,42,
